operator_id,total_records,incoming_records,outgoing_records,incoming_missed,incoming_answered_durations_sum,incoming_answered_count,outgoing_count,avg_time_to_answer_incoming,incoming_missed_rate,outgoing_rate,flag_high_missed,flag_slow_answer,flag_low_outgoing,ineficaz
903512.0,17,17,0,0,2441,17,0,143.58823529411765,0.0,0.0,False,False,True,False
903974.0,2,2,0,0,93,2,0,46.5,0.0,0.0,False,False,True,False
903976.0,2,2,0,0,134,2,0,67.0,0.0,0.0,False,False,True,False
903978.0,4,1,3,0,134,1,3,134.0,0.0,0.75,False,False,False,False
904014.0,68,13,55,0,2282,13,55,175.53846153846155,0.0,0.8088235294117647,False,False,False,False
904016.0,120,26,94,2,4301,24,94,179.20833333333334,0.07692307692307693,0.7833333333333333,False,False,False,False
904038.0,167,78,89,2,104706,76,89,1377.7105263157894,0.02564102564102564,0.5329341317365269,False,True,False,False
904044.0,60,42,18,1,29598,41,18,721.9024390243902,0.023809523809523808,0.3,False,False,True,False
904058.0,17,17,0,0,1241,17,0,73.0,0.0,0.0,False,False,True,False
904200.0,11,6,5,0,127,6,5,21.166666666666668,0.0,0.45454545454545453,False,False,False,False
904202.0,25,6,19,0,880,6,19,146.66666666666666,0.0,0.76,False,False,False,False
904204.0,24,4,20,0,213,4,20,53.25,0.0,0.8333333333333334,False,False,False,False
904284.0,29,29,0,0,2781,29,0,95.89655172413794,0.0,0.0,False,False,True,False
904344.0,3,2,1,1,3,1,1,3.0,0.5,0.3333333333333333,True,False,True,True
904372.0,2,2,0,0,45,2,0,22.5,0.0,0.0,False,False,True,False
905082.0,1,1,0,0,5,1,0,5.0,0.0,0.0,False,False,True,False
905104.0,142,63,79,6,20778,57,79,364.5263157894737,0.09523809523809523,0.5563380281690141,False,False,False,False
905300.0,16,16,0,2,487,14,0,34.785714285714285,0.125,0.0,True,False,True,True
905308.0,1,0,1,0,0,0,1,,,1.0,False,False,False,False
905430.0,50,16,34,1,13605,15,34,907.0,0.0625,0.68,False,False,False,False
905432.0,30,6,24,0,2145,6,24,357.5,0.0,0.8,False,False,False,False
905470.0,1,0,1,0,0,0,1,,,1.0,False,False,False,False
905472.0,4,1,3,0,17,1,3,17.0,0.0,0.75,False,False,False,False
905478.0,1,1,0,0,22,1,0,22.0,0.0,0.0,False,False,True,False
905480.0,1,0,1,0,0,0,1,,,1.0,False,False,False,False
905538.0,245,54,191,2,19748,52,191,379.7692307692308,0.037037037037037035,0.7795918367346939,False,False,False,False
905542.0,211,50,161,3,6220,47,161,132.3404255319149,0.06,0.7630331753554502,False,False,False,False
905564.0,200,31,169,1,3266,30,169,108.86666666666666,0.03225806451612903,0.845,False,False,False,False
905566.0,193,23,170,1,1941,22,170,88.22727272727273,0.043478260869565216,0.8808290155440415,False,False,False,False
905570.0,42,0,42,0,0,0,42,,,1.0,False,False,False,False
905574.0,110,3,107,0,278,3,107,92.66666666666667,0.0,0.9727272727272728,False,False,False,False
905840.0,6,0,6,0,0,0,6,,,1.0,False,False,False,False
905842.0,119,2,117,0,27,2,117,13.5,0.0,0.9831932773109243,False,False,False,False
905844.0,122,12,110,0,1302,12,110,108.5,0.0,0.9016393442622951,False,False,False,False
905862.0,38,37,1,3,8414,34,1,247.47058823529412,0.08108108108108109,0.02631578947368421,False,False,True,False
905870.0,74,31,43,0,16806,31,43,542.1290322580645,0.0,0.581081081081081,False,False,False,False
905930.0,115,33,82,0,6413,33,82,194.33333333333334,0.0,0.7130434782608696,False,False,False,False
905932.0,113,25,88,0,2891,25,88,115.64,0.0,0.7787610619469026,False,False,False,False
905934.0,15,1,14,0,249,1,14,249.0,0.0,0.9333333333333333,False,False,False,False
906070.0,37,15,22,2,48426,13,22,3725.076923076923,0.13333333333333333,0.5945945945945946,True,True,False,True
906076.0,3,2,1,0,2691,2,1,1345.5,0.0,0.3333333333333333,False,True,True,True
906294.0,170,50,120,1,30140,49,120,615.1020408163265,0.02,0.7058823529411765,False,False,False,False
906296.0,86,2,84,0,345,2,84,172.5,0.0,0.9767441860465116,False,False,False,False
906392.0,30,7,23,2,321,5,23,64.2,0.2857142857142857,0.7666666666666667,True,False,False,False
906394.0,123,19,104,0,7985,19,104,420.2631578947368,0.0,0.8455284552845529,False,False,False,False
906396.0,126,34,92,3,14697,31,92,474.0967741935484,0.08823529411764706,0.7301587301587301,False,False,False,False
906398.0,56,28,28,0,8025,28,28,286.60714285714283,0.0,0.5,False,False,False,False
906400.0,152,40,112,3,14104,37,112,381.18918918918916,0.075,0.7368421052631579,False,False,False,False
906402.0,17,6,11,0,711,6,11,118.5,0.0,0.6470588235294118,False,False,False,False
906404.0,154,43,111,6,74737,37,111,2019.918918918919,0.13953488372093023,0.7207792207792207,True,True,False,True
906406.0,203,46,157,3,77862,43,157,1810.7441860465117,0.06521739130434782,0.7733990147783252,False,True,False,False
906408.0,61,28,33,4,30846,24,33,1285.25,0.14285714285714285,0.5409836065573771,True,True,False,True
906410.0,47,34,13,5,14567,29,13,502.3103448275862,0.14705882352941177,0.2765957446808511,True,False,True,True
906412.0,90,15,75,2,698,13,75,53.69230769230769,0.13333333333333333,0.8333333333333334,True,False,False,False
906416.0,36,5,31,0,156,5,31,31.2,0.0,0.8611111111111112,False,False,False,False
906418.0,6,3,3,0,227,3,3,75.66666666666667,0.0,0.5,False,False,False,False
906420.0,15,5,10,0,184,5,10,36.8,0.0,0.6666666666666666,False,False,False,False
906680.0,122,57,65,2,11435,55,65,207.9090909090909,0.03508771929824561,0.5327868852459017,False,False,False,False
906866.0,29,0,29,0,0,0,29,,,1.0,False,False,False,False
907174.0,115,8,107,0,814,8,107,101.75,0.0,0.9304347826086956,False,False,False,False
907178.0,64,2,62,0,349,2,62,174.5,0.0,0.96875,False,False,False,False
907180.0,30,0,30,0,0,0,30,,,1.0,False,False,False,False
907182.0,109,34,75,0,12701,34,75,373.55882352941177,0.0,0.6880733944954128,False,False,False,False
907224.0,146,22,124,0,3180,22,124,144.54545454545453,0.0,0.8493150684931506,False,False,False,False
907440.0,83,6,77,0,1156,6,77,192.66666666666666,0.0,0.927710843373494,False,False,False,False
907442.0,47,0,47,0,0,0,47,,,1.0,False,False,False,False
907502.0,60,60,0,2,12136,58,0,209.24137931034483,0.03333333333333333,0.0,False,False,True,False
907504.0,13,4,9,0,177,4,9,44.25,0.0,0.6923076923076923,False,False,False,False
907618.0,1,1,0,0,39,1,0,39.0,0.0,0.0,False,False,True,False
907952.0,109,36,73,2,7454,34,73,219.23529411764707,0.05555555555555555,0.6697247706422018,False,False,False,False
907964.0,40,12,28,0,5468,12,28,455.6666666666667,0.0,0.7,False,False,False,False
907970.0,85,14,71,0,6082,14,71,434.42857142857144,0.0,0.8352941176470589,False,False,False,False
907972.0,9,4,5,0,174,4,5,43.5,0.0,0.5555555555555556,False,False,False,False
907974.0,3,3,0,0,1281,3,0,427.0,0.0,0.0,False,False,True,False
907982.0,83,35,48,1,7519,34,48,221.14705882352942,0.02857142857142857,0.5783132530120482,False,False,False,False
